Race,Age.Group,Year.of.diagnosis,Sex,Count
0,2,0,0,2522
0,2,0,1,1409
0,2,0,2,1113
0,2,1,0,36
0,2,1,1,21
0,2,1,2,15
0,2,2,0,56
0,2,2,1,32
0,2,2,2,24
0,2,3,0,43
0,2,3,1,23
0,2,3,2,20
0,2,4,0,42
0,2,4,1,26
0,2,4,2,16
0,2,5,0,45
0,2,5,1,25
0,2,5,2,20
0,2,6,0,39
0,2,6,1,17
0,2,6,2,22
0,2,7,0,46
0,2,7,1,21
0,2,7,2,25
0,2,8,0,34
0,2,8,1,15
0,2,8,2,19
0,2,9,0,35
0,2,9,1,17
0,2,9,2,18
0,2,10,0,44
0,2,10,1,27
0,2,10,2,17
0,2,11,0,51
0,2,11,1,31
0,2,11,2,20
0,2,12,0,47
0,2,12,1,31
0,2,12,2,16
0,2,13,0,51
0,2,13,1,27
0,2,13,2,24
0,2,14,0,49
0,2,14,1,32
0,2,14,2,17
0,2,15,0,68
0,2,15,1,33
0,2,15,2,35
0,2,16,0,61
0,2,16,1,32
0,2,16,2,29
0,2,17,0,56
0,2,17,1,31
0,2,17,2,25
0,2,18,0,57
0,2,18,1,35
0,2,18,2,22
0,2,19,0,55
0,2,19,1,26
0,2,19,2,29
0,2,20,0,38
0,2,20,1,21
0,2,20,2,17
0,2,21,0,53
0,2,21,1,34
0,2,21,2,19
0,2,22,0,63
0,2,22,1,32
0,2,22,2,31
0,2,23,0,62
0,2,23,1,30
0,2,23,2,32
0,2,24,0,67
0,2,24,1,32
0,2,24,2,35
0,2,25,0,74
0,2,25,1,40
0,2,25,2,34
0,2,26,0,67
0,2,26,1,37
0,2,26,2,30
0,2,27,0,56
0,2,27,1,31
0,2,27,2,25
0,2,28,0,50
0,2,28,1,30
0,2,28,2,20
0,2,29,0,56
0,2,29,1,28
0,2,29,2,28
0,2,30,0,59
0,2,30,1,31
0,2,30,2,28
0,2,31,0,65
0,2,31,1,39
0,2,31,2,26
0,2,32,0,58
0,2,32,1,30
0,2,32,2,28
0,2,33,0,55
0,2,33,1,29
0,2,33,2,26
0,2,34,0,66
0,2,34,1,35
0,2,34,2,31
0,2,35,0,52
0,2,35,1,28
0,2,35,2,24
0,2,36,0,73
0,2,36,1,43
0,2,36,2,30
0,2,37,0,70
0,2,37,1,43
0,2,37,2,27
